Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
100.64.0.2-10.16.0.5-44892-8181-6,100.64.0.2,44892,10.16.0.5,8181,6,2023-03-19 15:57:47.478793,439,5,5,106.0,137.0,106.0,0.0,21.2,47.40464112299554,137.0,0.0,27.4,61.26826258349424,553530.7517084283,22779.04328018223,48.77777777777777,53.90217476544378,177.0,7.0,420.0,105.0,56.71566509057852,177.0,44.0,405.0,101.25,77.96740772057686,213.0,32.0,1,1,0,0,0,0,168,168,11389.521640091116,11389.521640091116,0.0,137.0,24.3,51.747356346859775,2677.788888888889,2,2,0,2,9,0,0,0,1.0,24.3,21.2,27.4,0,0,0,0,0,0,0,10,0,13,65280,505,1,32,0,0,0,0,0,0,0,0,439,0
100.64.0.2-10.16.0.4-55752-8181-6,100.64.0.2,55752,10.16.0.4,8181,6,2023-03-19 15:05:28.745095,304,5,5,106.0,137.0,106.0,0.0,21.2,47.40464112299554,137.0,0.0,27.4,61.26826258349424,799342.1052631579,32894.73684210526,33.777777777777786,32.717647293845026,108.0,5.0,289.0,72.25,28.312247055529404,108.0,39.0,272.0,68.0,45.070315434145044,130.0,25.0,1,1,0,0,0,0,168,168,16447.36842105263,16447.36842105263,0.0,137.0,24.3,51.747356346859775,2677.788888888889,2,2,0,2,9,0,0,0,1.0,24.3,21.2,27.4,0,0,0,0,0,0,0,10,0,13,65280,505,1,32,0,0,0,0,0,0,0,0,304,0
10.16.0.2-144.122.71.18-40494-6642-6,10.16.0.2,40494,144.122.71.18,6642,6,2023-03-19 15:22:46.107020,9856,15,10,528.0,21205.0,261.0,0.0,35.2,76.10256237473217,6740.0,0.0,2120.5,2951.481144179045,2205052.7597402595,2536.525974025974,410.6666666666667,509.9047367692421,1982.0,5.0,9856.0,704.0,572.0441080357891,1982.0,5.0,9190.0,1021.1111111111111,1075.2102636745574,2954.0,10.0,4,6,0,0,0,0,488,328,1521.9155844155844,1014.6103896103896,0.0,6740.0,869.3199999999999,2087.393784124117,4357212.81,2,2,0,10,24,0,0,0,0.6666666666666666,869.32,35.2,2120.5,0,0,0,0,0,0,0,21,0,848,65280,503,4,32,0,0,0,0,0,0,0,0,9856,0
10.16.0.2-144.122.71.18-39042-6642-6,10.16.0.2,39042,144.122.71.18,6642,6,2023-03-19 15:10:02.316787,7484,15,10,528.0,21205.0,261.0,0.0,35.2,76.10256237473217,6740.0,0.0,2120.5,2951.481144179045,2903928.380545163,3340.4596472474614,311.83333333333326,349.9603290146727,1347.0,1.0,7484.0,534.5714285714286,413.08384589119885,1466.0,1.0,6867.0,763.0,713.7753498125303,1656.0,10.0,4,6,0,0,0,0,488,328,2004.2757883484767,1336.1838588989845,0.0,6740.0,869.3199999999999,2087.393784124117,4357212.81,2,2,0,10,24,0,0,0,0.6666666666666666,869.32,35.2,2120.5,0,0,0,0,0,0,0,21,0,848,65280,503,4,32,0,0,0,0,0,0,0,0,7484,0
10.16.0.2-144.122.71.18-59920-6642-6,10.16.0.2,59920,144.122.71.18,6642,6,2023-03-19 15:05:30.906374,7188,15,9,528.0,21205.0,261.0,0.0,35.2,76.10256237473217,6740.0,0.0,2356.1111111111113,3029.1301327462165,3023511.407902059,3338.8981636060103,312.52173913043475,320.563689539822,1335.0,4.0,7188.0,513.4285714285714,349.87354073364065,1425.0,6.0,6503.0,812.875,614.7028172795603,1625.0,7.0,4,6,0,0,0,0,488,296,2086.8113522537565,1252.0868113522538,0.0,6740.0,905.5416666666666,2124.2482246497316,4512430.519927536,2,2,0,10,23,0,0,0,0.6,905.5416666666666,35.2,2356.1111111111113,0,0,0,0,0,0,0,22,0,883,65280,503,4,32,0,0,0,0,0,0,0,0,7188,0
10.16.0.2-144.122.71.18-47382-6642-6,10.16.0.2,47382,144.122.71.18,6642,6,2023-03-19 15:29:32.113622,9528,16,10,528.0,21205.0,261.0,0.0,33.0,74.04683202766567,6740.0,0.0,2120.5,2951.481144179045,2280961.3769941228,2728.79932829555,381.12,451.1430224071593,1579.0,3.0,9528.0,635.1999999999999,502.45500153887264,1579.0,3.0,8850.0,983.3333333333334,1086.369182184399,2978.0,8.0,4,6,0,0,0,0,520,328,1679.2611251049539,1049.538203190596,0.0,6740.0,835.8846153846154,2052.3134132373266,4211990.346153846,2,2,0,10,25,0,0,0,0.625,835.8846153846154,33.0,2120.5,0,0,0,0,0,0,0,20,0,815,65280,503,4,32,0,0,0,0,0,0,0,0,9528,0
10.16.0.6-144.122.71.18-34846-6642-6,10.16.0.6,34846,144.122.71.18,6642,6,2023-03-19 15:05:38.202417,845,10,9,474.0,16238.0,207.0,0.0,47.4,75.95934585172665,6740.0,0.0,1804.2222222222224,2858.650283690617,1.9777514792899407E7,22485.207100591713,46.94444444444445,74.5239576340247,328.0,4.0,845.0,93.88888888888889,102.35287544134317,328.0,8.0,749.0,93.625,132.03996959795384,405.0,8.0,4,6,0,0,1,0,328,296,11834.319526627218,10650.887573964497,0.0,6740.0,879.5789473684213,2108.8027755574562,4447049.146198831,0,2,1,10,18,0,0,0,0.9,879.578947368421,47.4,1804.2222222222222,0,0,0,0,0,0,0,24,0,854,65280,503,4,32,0,0,0,0,0,0,0,0,845,0
10.16.0.6-144.122.71.18-48290-6642-6,10.16.0.6,48290,144.122.71.18,6642,6,2023-03-19 15:12:46.981245,868,10,9,474.0,16238.0,207.0,0.0,47.4,75.95934585172665,6740.0,0.0,1804.2222222222224,2858.650283690617,1.9253456221198156E7,21889.400921658987,48.22222222222222,70.50035924443769,313.0,6.0,868.0,96.44444444444444,93.43863107825253,313.0,9.0,773.0,96.625,120.893031230092,376.0,9.0,4,6,0,0,1,0,328,296,11520.737327188941,10368.663594470047,0.0,6740.0,879.5789473684213,2108.8027755574562,4447049.146198831,0,2,1,10,18,0,0,0,0.9,879.578947368421,47.4,1804.2222222222222,0,0,0,0,0,0,0,24,0,854,65280,503,4,32,0,0,0,0,0,0,0,0,868,0
10.16.0.4-144.122.171.91-46363-53-17,10.16.0.4,46363,144.122.171.91,53,17,2023-03-19 15:22:16.809526,615,1,1,55.0,102.0,55.0,55.0,55.0,0.0,102.0,102.0,102.0,0.0,255284.55284552847,3252.032520325203,615.0,0.0,615.0,615.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1626.0162601626016,1626.0162601626016,55.0,102.0,78.5,33.23401871576773,1104.5,0,0,0,0,0,0,0,0,1.0,78.5,55.0,102.0,0,0,0,0,0,0,0,27,0,51,0,0,0,8,0,0,0,0,0,0,0,0,0,0
10.16.0.5-144.122.171.91-38660-53-17,10.16.0.5,38660,144.122.171.91,53,17,2023-03-19 15:34:49.938030,753,1,1,38.0,416.0,38.0,38.0,38.0,0.0,416.0,416.0,416.0,0.0,602921.646746348,2656.042496679947,753.0,0.0,753.0,753.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1328.0212483399735,1328.0212483399735,38.0,416.0,227.0,267.28636328851496,71442.0,0,0,0,0,0,0,0,0,1.0,227.0,38.0,416.0,0,0,0,0,0,0,0,19,0,208,0,0,0,8,0,0,0,0,0,0,0,0,0,0
100.64.0.2-10.16.0.5-33732-8080-6,100.64.0.2,33732,10.16.0.5,8080,6,2023-03-19 15:53:56.218301,326,5,5,107.0,137.0,107.0,0.0,21.4,47.8518547184955,137.0,0.0,27.4,61.26826258349424,748466.2576687116,30674.84662576687,36.22222222222222,37.103833285045425,127.0,8.0,311.0,77.75,39.40706366461052,127.0,33.0,301.0,75.25,51.40930525368599,151.0,37.0,1,1,0,0,0,0,168,168,15337.423312883435,15337.423312883435,0.0,137.0,24.399999999999995,51.923447925233596,2696.0444444444447,2,2,0,2,9,0,0,0,1.0,24.4,21.4,27.4,0,0,0,0,0,0,0,10,0,13,65280,505,1,32,0,0,0,0,0,0,0,0,326,0
